,Price,Area (m²),Number of rooms,Address,Heating,Market,Advertiser type,Building type,Year of construction,Windows,Building material,type,voivodeship,offer year
0,1999000.0,148.0,4.0,"ul. Olchowa, Ujeścisko-Łostowice, Gdańsk, pomorskie",gazowe,wtórny,prywatny,szeregowiec,2021,plastikowe,silikat,house,pomorskie,2025
1,149000.0,70.0,3.0,"Nowy Las, Głuchołazy, nyski, opolskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,pustak,house,opolskie,2025
2,949000.0,110.17,4.0,"Wołomin, Wołomin, wołomiński, mazowieckie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
3,729000.0,114.0,5.0,"ul. Lokalna, Płock, mazowieckie",gazowe,wtórny,biuro nieruchomości,bliźniak,1970,plastikowe,pustak,house,mazowieckie,2025
4,559000.0,150.0,4.0,"Knurów, gliwicki, śląskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,cegła,house,śląskie,2025
5,410000.0,82.0,5.0,"ul. Biała, Glinice, Radom, mazowieckie",gazowe,wtórny,biuro nieruchomości,wolnostojący,1985,plastikowe,pustak,house,mazowieckie,2025
6,439000.0,161.0,4.0,"Barcino, Kępice, słupski, pomorskie",węglowe,wtórny,biuro nieruchomości,wolnostojący,1997,plastikowe,pustak,house,pomorskie,2025
8,1182460.0,133.9,4.0,"Pgr Kręczki Kaputy, Ożarów Mazowiecki, warszawski zachodni, mazowieckie",pompa ciepła,pierwotny,biuro nieruchomości,szeregowiec,2025,plastikowe,inny,house,mazowieckie,2025
10,370000.0,37.0,3.0,"Kretowiny, Morąg, ostródzki, warmińsko-mazurskie",inne,wtórny,biuro nieruchomości,bliźniak,1980,plastikowe,drewno,house,warmińsko-mazurskie,2025
11,886000.0,128.0,5.0,"Malin, Wisznia Mała, trzebnicki, dolnośląskie",inne,pierwotny,prywatny,szeregowiec,2021,plastikowe,pustak,house,dolnośląskie,2025
12,549000.0,88.0,3.0,"ul. Szkolna, Rokietnica, Rokietnica, poznański, wielkopolskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2019,plastikowe,cegła,house,wielkopolskie,2025
13,1150000.0,127.5,4.0,"Bożnów, Żagań, żagański, lubuskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,cegła,house,lubuskie,2025
14,1800000.0,139.0,4.0,"Maciejkowice, Chorzów Stary, Chorzów, śląskie",gazowe,wtórny,biuro nieruchomości,bliźniak,2018,plastikowe,pustak,house,śląskie,2025
