"URL","Cena","Cena za m²","Adres","Powierzchnia (m²)","Liczba pokoi","Ogrzewanie","Rynek","Typ ogłoszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Materiał budynku"
"https://www.otodom.pl/pl/oferta/inwestycja-z-widokiem-na-palac-kultury-ID4weQd","550 000 zł","27 500 zł/m²","ul. Bagno, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie","20m²","1 pokój","miejskie","wtórny","biuro nieruchomości","1966","blok","plastikowe","wielka płyta"
"https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-odre-bulwar-staromiejski-ID4wePf","999 000 zł","23 423 zł/m²","pl. Jana Pawła II, Stare Miasto, Stare Miasto, Wrocław, dolnośląskie","42.65m²","2 pokoje","miejskie","wtórny","biuro nieruchomości","2023","apartamentowiec","","cegła"
"https://www.otodom.pl/pl/oferta/nowa-cena-swietne-mieszkanie-dla-rodziny-ID4utED","699 000 zł","10 175 zł/m²","ul. Kosynierów, Rumia, wejherowski, pomorskie","68.7m²","3 pokoje","brak informacji","wtórny","biuro nieruchomości","2018","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/blizniaki-100-m2-przy-ul-guliwera-bezposrednio-ID4pNu8","869 000 zł","8 690 zł/m²","ul. Guliwera, Osów, Zachód, Szczecin, zachodniopomorskie","100m²","4 pokoje","gazowe","pierwotny","prywatny","2025","szeregowiec","plastikowe","silikat"
"https://www.otodom.pl/pl/oferta/gotowe-do-wejscia-3-pokoje-oddzielna-kuchnia-wola-ID4weOD","1 408 000 zł","20 501 zł/m²","ul. Fort Wola, Ulrychów, Wola, Warszawa, mazowieckie","68.68m²","3 pokoje","brak informacji","wtórny","biuro nieruchomości","2019","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/przytulne-2-pokoje-z-balkonem-i-widokiem-na-zielen-ID4weP7","649 000 zł","13 634 zł/m²","ul. Romualda Gutta, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie","47.6m²","2 pokoje","miejskie","wtórny","biuro nieruchomości","1983","blok","Brak danych","wielka płyta"
"https://www.otodom.pl/pl/oferta/top-spod-lady-gotowe-4-pokoje-ogrodek-2mp-w-hali-ID4uWHh","767 456 zł","9 280 zł/m²","ul. Sielawy, Naramowice, Stare Miasto, Poznań, wielkopolskie","82.7m²","4 pokoje","brak informacji","pierwotny","biuro nieruchomości","Brak danych","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-trzypokojowe-ID4uh7c","340 000 zł","6 628 zł/m²","ul. Tatrzańska, Legnica, dolnośląskie","51.3m²","3 pokoje","miejskie","wtórny","prywatny","1970","blok","plastikowe","beton"
"https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-ogrodek-ID4ug0w","Brak danych","Brak danych","ul. Malinowa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie","57.93m²","3 pokoje","brak informacji","pierwotny","deweloper","2026","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/0-prowizji-grunwald-nowe-obok-lasku-ID4uYbe","550 028 zł","13 305 zł/m²","ul. Grunwaldzka, Kasztelanów, Grunwald, Poznań, wielkopolskie","41.34m²","2 pokoje","miejskie","pierwotny","biuro nieruchomości","2025","blok","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/2-pokojowe-z-miejscem-postojowym-w-garazu-ID4weRx","718 000 zł","15 956 zł/m²","ul. Omulewska, Grochów, Praga-Południe, Warszawa, mazowieckie","45m²","2 pokoje","miejskie","wtórny","biuro nieruchomości","2007","blok","plastikowe","beton komórkowy"
"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-55m2-loggia-bezposrednio-ID4ui6S","Brak danych","Brak danych","ul. 23 Marca, Przylesie, Sopot, pomorskie","55.7m²","2 pokoje","brak informacji","pierwotny","deweloper","2024","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/2-pokoje-blisko-morza-osobna-kuchnia-inwestycja-ID4weON","554 000 zł","14 973 zł/m²","ul. Piastowska, Przymorze Wielkie, Gdańsk, pomorskie","37m²","2 pokoje","miejskie","wtórny","biuro nieruchomości","1972","blok","plastikowe","wielka płyta"
"https://www.otodom.pl/pl/oferta/komfortowe-2-pokojowe-mieszkanie-na-bemowie-ID4weQl","921 850 zł","17 900 zł/m²","ul. Górczewska, Górce, Bemowo, Warszawa, mazowieckie","51.5m²","2 pokoje","brak informacji","wtórny","biuro nieruchomości","2000","blok","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/3-pokoje-balkon-brochow-gotowe-do-odbioru-ID4weRF","672 000 zł","11 584 zł/m²","ul. Wiaduktowa, Brochów, Krzyki, Wrocław, dolnośląskie","58.01m²","3 pokoje","brak informacji","pierwotny","biuro nieruchomości","2024","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/mieszkanie-w-nowej-soli-ul-zjednoczenia-ii-p-ID4ttjE","299 000 zł","2 889 zł/m²","Nowa Sól, nowosolski, lubuskie","103.5m²","4 pokoje","kotłownia","wtórny","biuro nieruchomości","Brak danych","kamienica","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/apartament-nad-morzem-40m2-sobieszewo-przystan-ID4tVcr","1 228 770 zł","30 719 zł/m²","ul. Łąkowa, Wiślinka, Pruszcz Gdański, gdański, pomorskie","40m²","2 pokoje","miejskie","pierwotny","prywatny","2023","apartamentowiec","drewniane","cegła"
"https://www.otodom.pl/pl/oferta/0-prowizji-grunwald-nowe-gotowe-od-dewelopera-ID4uP9d","665 775 zł","12 183 zł/m²","ul. Grunwaldzka, Junikowo, Grunwald, Poznań, wielkopolskie","54.65m²","3 pokoje","miejskie","pierwotny","biuro nieruchomości","2024","blok","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/2-3pokoje-48-m-praga-poludnie-promenada-ID4weRm","660 000 zł","13 750 zł/m²","ul. Ostrobramska, Gocławek, Praga-Południe, Warszawa, mazowieckie","48m²","2 pokoje","miejskie","wtórny","biuro nieruchomości","1978","blok","plastikowe","wielka płyta"
"https://www.otodom.pl/pl/oferta/4-pok-62m2-duzy-balkon-osobna-kuchnia-ID4weQ5","654 334 zł","10 530 zł/m²","Winogrady, Stare Miasto, Poznań, wielkopolskie","62.14m²","4 pokoje","miejskie","pierwotny","biuro nieruchomości","Brak danych","blok","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-nowa-sol-sprzedam-ID4tqHb","199 000 zł","2 998 zł/m²","ul. Wojska Polskiego 24, Nowa Sól, nowosolski, lubuskie","66.37m²","3 pokoje","elektryczne","wtórny","biuro nieruchomości","Brak danych","kamienica","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-50m2-balkon-bez-prowizji-ID4uEvm","Brak danych","Brak danych","al. Spółdzielczości Pracy, Ponikwoda, Lublin, lubelskie","50.92m²","3 pokoje","brak informacji","pierwotny","deweloper","2026","Brak danych","Brak danych","Brak danych"
