URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/mieszkanie-29-6m2-nowe-bemowo-przy-metrze-chrzanow-ID4tOwu,559 000 zł,18 885 zł/m²,"Blizne Łaszczyńskiego, Stare Babice, warszawski zachodni, mazowieckie",29.6m²,1 pokój,miejskie,pierwotny,prywatny,2025,apartamentowiec,plastikowe,pustak
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-ID4umHK,Brak danych,Brak danych,"ul. Ostródzka, Brzeziny, Białołęka, Warszawa, mazowieckie",29.49m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-centrum-warszawy-metro-widok-wiezowce-ID4tre5,599 000 zł,22 689 zł/m²,"ul. Sienna, Mirów, Wola, Warszawa, mazowieckie",26.4m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1963,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-ogrodek-ID4uhbP,423 060 zł,16 500 zł/m²,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",25.64m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/gotowe-mieszkania-umow-sie-uniw-med-ID4weut,273 462 zł,10 200 zł/m²,"Centrum, Śródmieście, Łódź, łódzkie",26.81m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2024,apartamentowiec,plastikowe,pustak
https://www.otodom.pl/pl/oferta/kawalerka-parter-czysta-umeblowana-ekonomiczna-ID4weiu,220 000 zł,7 586 zł/m²,"ul. Joachima Lelewela, Słupsk, pomorskie",29m²,1 pokój,gazowe,wtórny,prywatny,1930,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-bez-prowizji-ID4uk3u,Brak danych,Brak danych,"ul. Akacjowa, Rakowice, Prądnik Czerwony, Kraków, małopolskie",30.63m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/duze-sloneczne-mieszkanie-ID4uxX9,540 000 zł,15 652 zł/m²,"ul. Strzelców, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie",34.5m²,1 pokój,miejskie,wtórny,prywatny,2009,apartamentowiec,drewniane,pustak
https://www.otodom.pl/pl/oferta/apartament-w-aparthotel-termy-uniejow-ID4uX5h,320 000 zł,12 214 zł/m²,"Uniejów, Uniejów, poddębicki, łódzkie",26.2m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2018,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/wyjatkowe-dwupoziomowe-mieszkanie-w-centrum-ID4tNKq,580 000 zł,10 759 zł/m²,"ul. Listopadowa, Osiedle Mieszka I, Bielsko-Biała, śląskie",53.91m²,1 pokój,miejskie,pierwotny,deweloper,2026,blok,plastikowe,pustak
https://www.otodom.pl/pl/oferta/przestronna-i-wygodna-kawalerka-w-sercu-miasta-ID4t6CD,238 000 zł,7 000 zł/m²,"ul. Stefana Żeromskiego, Stare Polesie, Polesie, Łódź, łódzkie",34m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,kamienica,Brak danych,cegła
https://www.otodom.pl/pl/oferta/mieszkanie-35-34-m-warszawa-ID4wd3W,662 000 zł,18 732 zł/m²,"ul. Nowolipki, Nowolipki, Wola, Warszawa, mazowieckie",35.34m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,1952,Brak danych,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-w-top-lokalizacji-ID4w3F3,279 000 zł,8 569 zł/m²,"Ligota-Panewniki, Katowice, śląskie",32.56m²,1 pokój,gazowe,wtórny,biuro nieruchomości,Brak danych,dom wolnostojący,plastikowe,cegła
https://www.otodom.pl/pl/oferta/apartament-z-2018-roku-os-uroczysko-ID4wcZM,330 000 zł,10 645 zł/m²,"Osiedle Związkowiec, Kielce, świętokrzyskie",31m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,Brak danych,apartamentowiec,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-bezczynszowe-plus-dzialka-420m-ID4uSCA,149 000 zł,3 548 zł/m²,"ul. Bielszowicka, Bielszowice, Ruda Śląska, śląskie",42m²,1 pokój,brak informacji,wtórny,prywatny,Brak danych,kamienica,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-al-grunwaldzka-i-galeria-baltycka-pkp-ID4tZNn,533 000 zł,12 309 zł/m²,"al. Grunwaldzka, Wrzeszcz Górny, Gdańsk, pomorskie",43.3m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-59m2-bezposrednio-ID4u9z0,Brak danych,Brak danych,"pl. Hutników, Centrum, Chorzów, śląskie",59.12m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-18-5-m2-ul-na-wrzosach-ID4uRRa,215 000 zł,12 286 zł/m²,"ul. Na Wrzosach, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",17.5m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,Brak danych,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-loggia-ID4ujNK,500 952 zł,16 873 zł/m²,"ul. Leona Heyki, Międzyodrze-Wyspa Pucka, Śródmieście, Szczecin, zachodniopomorskie",29.69m²,1 pokój,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-36-m-pruszkow-ID4we7u,496 800 zł,13 800 zł/m²,"ul. Bolesława Prusa, Pruszków, pruszkowski, mazowieckie",36m²,1 pokój,inne,wtórny,biuro nieruchomości,2011,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/lokal-pokoj-hotelowy-aparthotel-termy-uniejow-ID4uCrc,350 000 zł,13 555 zł/m²,"Termalna 1, Zieleń, Uniejów, poddębicki, łódzkie",25.82m²,1 pokój,brak informacji,wtórny,prywatny,Brak danych,apartamentowiec,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/centrum-miasta-ID4sHUw,715 000 zł,24 965 zł/m²,"ul. Walońska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",28.64m²,1 pokój,miejskie,wtórny,prywatny,2022,apartamentowiec,drewniane,cegła
https://www.otodom.pl/pl/oferta/krakow-ruczaj-szuwarowa-kawalerka-balkon-ID4wdJQ,460 000 zł,15 385 zł/m²,"ul. Szuwarowa, Ruczaj, Dębniki, Kraków, małopolskie",29.9m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1997,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-bez-prowizji-ID4umM3,Brak danych,Brak danych,"ul. Marywilska 60, Żerań, Białołęka, Warszawa, mazowieckie",25.41m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4uhRo,Brak danych,Brak danych,"ul. Spadochroniarzy, Złotno, Polesie, Łódź, łódzkie",27.71m²,1 pokój,brak informacji,pierwotny,deweloper,2024,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-pruszkow-ID4weX2,235 000 zł,13 824 zł/m²,"Pruszków, pruszkowski, mazowieckie",17m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,1970,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-w-rumi-janowie-ojpiii-b-p2-22-ID4tQpE,Brak danych,Brak danych,"ul. Dębogórska, Rumia, wejherowski, pomorskie",29.61m²,1 pokój,miejskie,pierwotny,deweloper,2026,blok,plastikowe,silikat
https://www.otodom.pl/pl/oferta/apartamenty-przy-plazy-rewal-ul-klifowa-22-b-1-1-ID4m84L,359 037 zł,13 900 zł/m²,"ul. Klifowa, Rewal, Rewal, gryficki, zachodniopomorskie",25.83m²,1 pokój,elektryczne,pierwotny,deweloper,2025,apartamentowiec,aluminiowe,keramzyt
https://www.otodom.pl/pl/oferta/w-kameralnym-budynku-5-min-do-pkp-swider-ID4uYBC,337 000 zł,13 405 zł/m²,"Otwock, otwocki, mazowieckie",25.14m²,1 pokój,gazowe,wtórny,prywatny,Brak danych,Brak danych,plastikowe,cegła
https://www.otodom.pl/pl/oferta/kamienica-ul-zabkowska-30-34-8-m2-ID4wdGU,513 300 zł,14 750 zł/m²,"ul. Ząbkowska, Szmulowizna, Praga-Północ, Warszawa, mazowieckie",34.8m²,1 pokój,elektryczne,wtórny,biuro nieruchomości,1934,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-miejsce-parkingowe-ID4uUBP,219 000 zł,5 214 zł/m²,"ul. Murarska, Słupsk, pomorskie",42m²,1 pokój,gazowe,wtórny,prywatny,Brak danych,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/tarchomin-40m2-1-2-pokoje-ID4w5vI,469 000 zł,11 725 zł/m²,"Tarchomin, Białołęka, Warszawa, mazowieckie",40m²,1 pokój,miejskie,wtórny,prywatny,1980,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/mieszkanie-1-pokojowe-gotowe-ruczaj-bez-prowizji-ID4wdjG,524 727 zł,16 175 zł/m²,"ul. Karola Bunscha, Ruczaj, Dębniki, Kraków, małopolskie",32.44m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2023,apartamentowiec,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/3km-do-ch-forum-gotowy-do-odbioru-ID4uUOo,309 308 zł,11 896 zł/m²,"Śródmieście, Gdańsk, pomorskie",26m²,1 pokój,brak informacji,pierwotny,biuro nieruchomości,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-do-wejscia-31-m2-balkon-laziska-ID4wc8K,188 000 zł,6 065 zł/m²,"ul. Wyrska, Łaziska Górne, mikołowski, śląskie",31m²,1 pokój,miejskie,wtórny,prywatny,1980,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/aquart-apartament-1-pok-a-01-25-ID4s6BN,Brak danych,Brak danych,"ul. Bolesława Chrobrego 35, Świnoujście, zachodniopomorskie",41.52m²,1 pokój,brak informacji,pierwotny,deweloper,Brak danych,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-1pok-29-43-m2-ul-stefana-okrzei-ID4uMIx,"344 036,70 zł",11 690 zł/m²,"ul. Stefana Okrzei, Śródmieście, Kielce, świętokrzyskie",29.43m²,1 pokój,gazowe,pierwotny,deweloper,2024,apartamentowiec,plastikowe,żelbet
https://www.otodom.pl/pl/oferta/apartament-wyspa-spichrzow-gdansk-ID4w9LZ,1 113 300 zł,26 570 zł/m²,"ul. Chmielna, Śródmieście, Gdańsk, pomorskie",41.9m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2024,apartamentowiec,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-taras-bez-posrednikow-ID4ujRU,422 924 zł,15 941 zł/m²,"ul. Leona Heyki, Międzyodrze-Wyspa Pucka, Śródmieście, Szczecin, zachodniopomorskie",26.53m²,1 pokój,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/ostatnia-gotowa-kawalerka-z-ogrodkiem-i-centrum-ID4weYm,303 310 zł,10 120 zł/m²,"Centrum, Chorzów, śląskie",29.97m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2023,apartamentowiec,Brak danych,pustak
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-loggia-ID4umWt,560 196 zł,17 100 zł/m²,"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",32.76m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/stare-miasto-35m2-balkon-5-min-do-dworca-ID4weVt,663 568 zł,19 068 zł/m²,"ul. Wita Stwosza, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",34.8m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,apartamentowiec,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-35-67m2-od-dewelopera-ID4uS8W,356 700 zł,10 000 zł/m²,"ul. Rąbieńska, Złotno, Polesie, Łódź, łódzkie",35.67m²,1 pokój,gazowe,pierwotny,prywatny,2024,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/sosnowiec-pogon-bydgoska-kawalerka-26m2-ID4wexA,149 000 zł,5 731 zł/m²,"ul. Bydgoska, Pogoń, Sosnowiec, śląskie",26m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bez-prowizji-ID4unpd,366 250 zł,12 500 zł/m²,"ul. Rzepakowa, Piotrowice-Ochojec, Katowice, śląskie",29.3m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bezposrednio-ID4ulIo,Brak danych,Brak danych,"ul. Przemyska, Ujeścisko-Łostowice, Gdańsk, pomorskie",32.6m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/nowa-kawalerka-praga-polnoc-ul-jagiellonska-ID4wdOO,482 000 zł,17 958 zł/m²,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",26.84m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2026,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-23m2-bezposrednio-ID4u9Kk,Brak danych,Brak danych,"os. Lotnictwa Polskiego, Wola, Jeżyce, Poznań, wielkopolskie",23.89m²,1 pokój,brak informacji,pierwotny,deweloper,2024,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-38m2-loggia-ID4ufS3,498 857 zł,12 857 zł/m²,"ul. płk. dr. Stanisława Więckowskiego, Centrum, Śródmieście, Łódź, łódzkie",38.8m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/ekskluzywna-inwestycja-nad-morzem-ID4su9b,442 715 zł,13 900 zł/m²,"ul. Polna, Puck, pucki, pomorskie",31.85m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2024,apartamentowiec,aluminiowe,silikat
